Title,Address,Link
Construction Project Manager / Project Manager / Const. Superintendent,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Manhattan)'>]",https://newyork.craigslist.org/brk/egr/d/new-york-construction-project-manager/7057758260.html
PROJECT MANAGER,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (NEW YORK)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7057756761.html
Experienced Architect/Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057735724.html
Experienced Architect/Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057731846.html
AV Field Engineer,,https://newyork.craigslist.org/mnh/egr/d/new-york-av-field-engineer/7057656189.html
AV Associate Engineer,,https://newyork.craigslist.org/mnh/egr/d/new-york-av-associate-engineer/7057655582.html
Maintenance Technician,,https://newyork.craigslist.org/brk/egr/d/brooklyn-maintenance-technician/7057250493.html
Drafters Needed,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Queens, NY)'>]",https://newyork.craigslist.org/que/egr/d/east-elmhurst-drafters-needed/7056803202.html
Junior Architect/Draft person,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/7056696382.html
Midtown Architecture Office searching for an Architecture Candidate,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-midtown-architecture-office/7056685398.html
Registered Architect - New Office in NY - High Rise Buildings,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York City)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-registered-architect-new/7056591833.html
Architectural Junior/Senior Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Huntington Station)'>]",https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-junior/7056532602.html
Architectural Senior Drafter/Job Captain,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7056525899.html
Construction APM / Administrator Role,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn NY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-apm-administrator/7056106668.html
Draftsman/estimator/assistant project manager.,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Ridgewood)'>]",https://newyork.craigslist.org/que/egr/d/draftsman-estimator-assistant-project/7056086983.html
AutoCad Drafter - MEP Engineering,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter-mep-engineering/7056037024.html
Junior Architect/ Estimator,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Astoria, Queens)'>]",https://newyork.craigslist.org/que/egr/d/astoria-junior-architect-estimator/7055965972.html
Project Architect Wanted in Industry City,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-project-architect-wanted-in/7055908472.html
JUNIOR ENGINEER / ARCHITECT,,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-engineer-architect/7055826729.html
Assistant for busy CEO of high end prefab start up (Russian&English),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Financial District)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-for-busy-ceo-of-high/7055757186.html
Assistant Project Manager - Construction and Development,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York, NY)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7055529682.html
Architect -Full Time-Immediate Hire,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Staten Island)'>]",https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate-hire/7055253240.html
Project Architect(s),"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Jamaica, Queens)'>]",https://newyork.craigslist.org/que/egr/d/project-architects/7055199575.html
Project Coordinator/Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-project-coordinator-manager/7055188275.html
Drafting/Estimating Internship,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Long Island City)'>]",https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7055165570.html
MASTER  PLUMBER  - SIGN OFF -  ARCHITECT,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (BROOKLY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-master-plumber-sign-off/7054672905.html
CAD Drafter,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn, NY)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drafter/7054622360.html
Architects - Residential Experience,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architects-residential/7054365796.html
Trainee Project Manager at High-End Glass Wall Company,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-trainee-project-manager-at/7053744607.html
Facade / Building Envelope Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/7053739977.html
Facade / Building Envelope Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (TriBeCa)'>]",https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7053738995.html
Architect - Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-project-manager/7053686621.html
Freelance Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Mamaroneck)'>]",https://newyork.craigslist.org/fct/egr/d/mamaroneck-freelance-architect/7053676544.html
Freelance Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Mamaroneck)'>]",https://newyork.craigslist.org/wch/egr/d/mamaroneck-freelance-architect/7053675609.html
Millwork Draftsman Position,,https://newyork.craigslist.org/brk/egr/d/woodhaven-millwork-draftsman-position/7053656758.html
architect/interior designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Chelsea)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-interior-designer/7053575686.html
Junior Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Harlem / Morningside)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect/7053536705.html
Intermediate Architect,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/7053451893.html
◄◄  SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR 3D PROJECT,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Metro New York, Long Island)'>]",https://newyork.craigslist.org/que/egr/d/astoria-sketchup-professional-available/7053384342.html
Architectural drafter,,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-drafter/7053089575.html
Draftsman,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Flatiron)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-draftsman/7053034286.html
